Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict', 'name': 'GX010077', 'stream': True, 'save': True, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 60/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 61/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 62/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 63/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 64/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 65/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 66/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 67/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 68/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 69/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 1 person, 23.6ms
video 1/1 (frame 70/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 71/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 72/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 73/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.8ms
video 1/1 (frame 74/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 75/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 76/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 77/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 78/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 79/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 80/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 81/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 82/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 83/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 84/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 85/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 86/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.5ms
video 1/1 (frame 87/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 88/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 89/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.8ms
video 1/1 (frame 90/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 24.1ms
video 1/1 (frame 91/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
