Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/src/computer_vision/experimentation/predict', 'name': 'GX010126', 'stream': True, 'save': False, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 141/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 142/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 143/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 144/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.6ms
video 1/1 (frame 145/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.1ms
video 1/1 (frame 146/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.5ms
video 1/1 (frame 147/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.0ms
video 1/1 (frame 148/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.3ms
video 1/1 (frame 149/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 150/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.7ms
video 1/1 (frame 151/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.8ms
video 1/1 (frame 152/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.5ms
video 1/1 (frame 153/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 154/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 155/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 156/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.0ms
video 1/1 (frame 157/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 16.0ms
video 1/1 (frame 158/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 22.8ms
video 1/1 (frame 159/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 32.7ms
video 1/1 (frame 160/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 38.5ms
video 1/1 (frame 161/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.4ms
video 1/1 (frame 162/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 34.3ms
video 1/1 (frame 163/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 26.2ms
video 1/1 (frame 164/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.0ms
video 1/1 (frame 165/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 166/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.5ms
video 1/1 (frame 167/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 20.1ms
video 1/1 (frame 168/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 3 persons, 11.7ms
video 1/1 (frame 169/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 3 persons, 11.6ms
video 1/1 (frame 170/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.5ms
video 1/1 (frame 171/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.5ms
video 1/1 (frame 172/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 13.9ms
video 1/1 (frame 173/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 15.7ms
video 1/1 (frame 174/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 175/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.5ms
video 1/1 (frame 176/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 177/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 178/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 179/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 3 persons, 11.6ms
video 1/1 (frame 180/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 17.6ms
video 1/1 (frame 181/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.0ms
video 1/1 (frame 182/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.6ms
video 1/1 (frame 183/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 19.1ms
video 1/1 (frame 184/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.8ms
